2026-01-30 01:25:24 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:25:29 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:25:34 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:25:39 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:25:44 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:25:50 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:25:54 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:26:00 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:26:05 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:26:10 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:26:15 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:26:20 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:26:25 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:26:31 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:26:35 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:26:41 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:26:46 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:26:51 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:26:56 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:27:01 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:27:06 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:27:11 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:27:16 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:27:22 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:27:27 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:27:32 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:27:37 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:27:42 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:27:47 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
